"julia_version_prefix","client_type","date","request_addrs","request_count","successes","cache_misses","body_bytes_sent","request_time"
"1.10.0","ci","2024-03-15",291,18999,17806,0,19885161077,155.448
"1.10.0","ci","2024-03-16",70,6709,6286,0,7300248144,59.026
"1.10.0","ci","2024-03-17",114,8427,7862,0,6029846923,53.598
"1.10.0","ci","2024-03-18",714,45795,43324,0,51799207513,562.918
"1.10.0","ci","2024-03-19",450,22769,21005,1,22930074688,221.085
"1.10.0","ci","2024-03-20",268,20036,18535,1,26721333003,319.12
"1.10.0","ci","2024-03-21",368,24558,22517,4,16648358707,247.762
"1.10.0","ci","2024-03-22",461,54609,51454,1,55312904365,457.196
"1.10.0","ci","2024-03-23",234,19962,18252,1,7004642015,75.723
"1.10.0","ci","2024-03-24",146,13726,12575,0,4850024116,51.299
"1.10.0","ci","2024-03-25",409,28229,26356,2,27883719613,253.501
"1.10.0","ci","2024-03-26",603,30302,27736,2,24740724164,249.382
"1.10.0","ci","2024-03-27",244,19819,18352,1,29726947336,280.933
"1.10.0","ci","2024-03-28",280,20316,18826,2,28689338108,230.065
"1.10.0","ci","2024-03-29",178,11739,10487,1,8297196553,66.091
"1.10.0","ci","2024-03-30",54,5788,5290,0,4972360698,34.137
"1.10.0","ci","2024-03-31",79,7579,6799,0,4243241456,58.694
"1.10.0","ci","2024-04-01",117,25483,24148,1,32859717547,259.726
"1.10.0","ci","2024-04-02",329,24457,22733,1,25199221902,218.112
"1.10.0","ci","2024-04-03",182,9794,8703,0,12092692642,103.519
"1.10.0","ci","2024-04-04",296,21894,20699,1,27429279149,212.285
"1.10.0","ci","2024-04-05",77,7485,6991,3,9829198350,80.358
"1.10.0","ci","2024-04-06",38,4116,3866,0,3061743304,29.326
"1.10.0","ci","2024-04-07",40,4768,4521,0,4494383276,39.696
"1.10.0","ci","2024-04-08",389,26120,24448,1,24636267608,209.286
"1.10.0","ci","2024-04-09",120,7764,7162,44,11470763327,201.786
"1.10.0","ci","2024-04-10",85,8204,7770,13,15027810911,166.167
"1.10.0","ci","2024-04-11",93,19360,18853,1,49877199495,365.629
"1.10.0","ci","2024-04-12",70,15644,15256,5,43193059148,300.432
"1.10.0","ci","2024-04-13",26,3520,3358,0,5300202232,52.089
"1.10.0","ci","2024-04-14",15,1854,1762,0,2272889951,12.383
"1.10.0","ci","2024-04-15",137,27217,26020,6,33914775263,386.223
"1.10.0","ci","2024-04-16",170,31291,30112,3,37233841050,380.293
"1.10.0","ci","2024-04-17",188,14104,9890,0,12463873532,131.438
"1.10.0","ci","2024-04-18",248,29505,14089,0,20973615166,162.437
"1.10.0","ci","2024-04-19",197,15591,7324,2,7404397292,77.641
"1.10.0","ci","2024-04-20",62,8033,3756,0,5702610526,45.241
"1.10.0","ci","2024-04-21",76,7866,3113,0,3487006316,20.859
"1.10.0","ci","2024-04-22",497,91931,38475,4,61493394857,549.531
"1.10.0","ci","2024-04-23",398,30852,15449,0,33060206639,288.473
"1.10.0","ci","2024-04-24",157,14614,7355,0,13826152317,111.244
"1.10.0","ci","2024-04-25",142,20614,11249,0,24304162919,185.994
"1.10.0","user","2023-05-30",1,20,10,0,930,0.008
"1.10.0","user","2023-05-31",2,50,25,0,2325,0.022
"1.10.0","user","2023-06-01",2,56,28,0,2604,0.024
"1.10.0","user","2023-06-02",2,48,24,0,2232,0.016
"1.10.0","user","2023-06-03",1,18,9,0,837,0.004
"1.10.0","user","2023-06-04",1,32,16,0,1488,0.014
"1.10.0","user","2023-06-07",1,4,2,0,186,0.001
"1.10.0","user","2023-12-20",1,101,84,0,24516023,0.381
"1.10.0","user","2023-12-21",1,40,27,0,15534183,0.245
"1.10.0","user","2023-12-25",2,6,3,0,279,0.003
"1.10.0","user","2023-12-26",60,4254,3920,107,10436484727,563.627
"1.10.0","user","2023-12-27",1344,100480,92814,967,163052334242,9438.729
"1.10.0","user","2023-12-28",1857,170510,158576,1798,287271607825,43874.084
"1.10.0","user","2023-12-29",1604,125155,115923,1357,196403560044,66880.519
"1.10.0","user","2023-12-30",1296,102788,95575,1344,202257247561,35303.149
"1.10.0","user","2023-12-31",1239,90000,84029,557,156948759301,22796.42
"1.10.0","user","2024-01-01",1350,102245,94836,491,143557026526,45290.291
"1.10.0","user","2024-01-02",2201,187207,173495,1127,287535887067,35644.606
"1.10.0","user","2024-01-03",2234,181058,167455,1235,347539572820,68084.228
"1.10.0","user","2024-01-04",2405,184583,169220,1199,308975001190,71347.674
"1.10.0","user","2024-01-05",2302,190344,176966,1226,278172973984,70567.451
"1.10.0","user","2024-01-06",1562,116031,107658,766,181308221078,39087.568
"1.10.0","user","2024-01-07",1712,125229,115867,642,200127635741,40092.729
"1.10.0","user","2024-01-08",2789,235139,219766,1145,353786932913,67597.609
"1.10.0","user","2024-01-09",2849,226898,207701,1544,323377979422,49285.902
"1.10.0","user","2024-01-10",2994,245029,227495,1492,379232596310,80280.672
"1.10.0","user","2024-01-11",2959,233246,216939,1214,366665391653,81257.315
"1.10.0","user","2024-01-12",3120,247600,230340,1091,354520522568,78661.149
"1.10.0","user","2024-01-13",1793,145889,135200,1021,233593287508,44862.82
"1.10.0","user","2024-01-14",1858,143095,133891,762,203768866136,76289.779
"1.10.0","user","2024-01-15",3009,236699,220097,1262,323602094203,59223.422
"1.10.0","user","2024-01-16",3298,258093,240706,1276,346736272072,44106.735
"1.10.0","user","2024-01-17",3239,252870,236052,1572,412736922774,88687.445
"1.10.0","user","2024-01-18",3257,269120,251679,1654,419073442681,55397.621
"1.10.0","user","2024-01-19",3240,258848,242009,1109,369882299282,71101.158
"1.10.0","user","2024-01-20",1748,132624,122669,740,199421854127,46850.482
"1.10.0","user","2024-01-21",2003,166599,156222,864,272544359749,52490.366
"1.10.0","user","2024-01-22",3429,262892,245666,1237,391916456126,58880.303
"1.10.0","user","2024-01-23",3809,277642,257383,1032,401731818780,86951.102
"1.10.0","user","2024-01-24",3757,320032,293043,1247,448722762828,71133.632
"1.10.0","user","2024-01-25",3552,322470,301463,1166,513279864121,68749.89
"1.10.0","user","2024-01-26",3273,295666,277389,1016,458327163016,93089.093
"1.10.0","user","2024-01-27",1962,153935,142846,666,254490496706,77143.52
"1.10.0","user","2024-01-28",2016,158963,148166,536,241859378343,41378.294
"1.10.0","user","2024-01-29",3557,326540,304842,1255,445264571454,72851.884
"1.10.0","user","2024-01-30",3857,343385,320703,1058,467663144653,109752.101
"1.10.0","user","2024-01-31",3784,402452,378529,1243,574672873325,138324.46
"1.10.0","user","2024-02-01",3751,357072,334423,1112,528121572866,122262.155
"1.10.0","user","2024-02-02",3582,398041,376847,1163,562841270926,88396.821
"1.10.0","user","2024-02-03",2097,214991,202572,600,298886622798,61757.173
"1.10.0","user","2024-02-04",2169,155634,144509,1030,203829024548,51268.453
"1.10.0","user","2024-02-05",3994,439631,411370,1530,766004963939,98033.602
"1.10.0","user","2024-02-06",3911,436111,410925,1138,622456600961,75854.112
"1.10.0","user","2024-02-07",3740,367044,342967,956,519175088573,72307.591
"1.10.0","user","2024-02-08",3781,384688,361518,798,569176739668,71706.996
"1.10.0","user","2024-02-09",3540,329864,308891,767,481776101219,25239.772
"1.10.0","user","2024-02-10",1960,193073,181512,588,266157768854,28812.448
"1.10.0","user","2024-02-11",2044,158062,146686,525,229150036541,37048.924
"1.10.0","user","2024-02-12",3708,315151,294680,777,431966087212,44168.177
"1.10.0","user","2024-02-13",3919,401519,376939,1068,598406975971,47967.321
"1.10.0","user","2024-02-14",3576,376225,352619,1076,667428821115,80384.494
"1.10.0","user","2024-02-15",2680,245372,228702,578,317899181720,32507.163
"1.10.0","user","2024-02-16",2161,232317,215564,340,305355623225,25517.171
"1.10.0","user","2024-02-17",1030,83978,78948,170,106499008889,15958.222
"1.10.0","user","2024-02-18",1063,57738,52083,247,101373041992,31266.046
"1.10.0","user","2024-02-19",1827,126514,113214,436,219196215010,29577.342
"1.10.0","user","2024-02-20",1799,134595,120360,342,211233194821,57477.521
"1.10.0","user","2024-02-21",1865,122424,110407,1665,180050381610,33380.369
"1.10.0","user","2024-02-22",1595,97601,87355,303,167916900765,43658.524
"1.10.0","user","2024-02-23",1453,101964,91130,771,174615536559,18442.092
"1.10.0","user","2024-02-24",798,53054,45078,189,107408335712,11969.466
"1.10.0","user","2024-02-25",757,61669,52810,174,102346981628,20357.171
"1.10.0","user","2024-02-26",1539,112382,99524,438,219670970392,21699.832
"1.10.0","user","2024-02-27",1446,101606,93644,909,162141695841,14833.941
"1.10.0","user","2024-02-28",1513,137128,117399,1971,154346285556,52983.823
"1.10.0","user","2024-02-29",1386,98488,89709,291,161776554008,12952.068
"1.10.0","user","2024-03-01",1208,86350,78651,274,115659872687,21355.498
"1.10.0","user","2024-03-02",643,43449,40062,116,53843021529,7823.666
"1.10.0","user","2024-03-03",696,44113,40266,158,55405342485,7832.787
"1.10.0","user","2024-03-04",1265,87569,80564,270,119741516881,10519.518
"1.10.0","user","2024-03-05",1317,95465,87147,316,130546895128,13969.719
"1.10.0","user","2024-03-06",1288,99070,90978,233,127283161254,17861.353
"1.10.0","user","2024-03-07",1176,79039,72805,288,101549888960,12096.435
"1.10.0","user","2024-03-08",989,67680,62181,162,92763745734,16294.24
"1.10.0","user","2024-03-09",580,31948,29028,63,51987021967,9304.935
"1.10.0","user","2024-03-10",602,38364,34494,133,47070103857,6453.173
"1.10.0","user","2024-03-11",1129,81120,74373,237,128907083690,12546.922
"1.10.0","user","2024-03-12",1237,91572,83713,281,127525970061,13488.17
"1.10.0","user","2024-03-13",1160,86380,78724,158,130839440069,20203.516
"1.10.0","user","2024-03-14",1055,73766,66355,320,101579174555,9362.54
"1.10.0","user","2024-03-15",1005,88015,79508,110,134501855904,9124.956
"1.10.0","user","2024-03-16",542,31335,28314,69,34209444305,11949.265
"1.10.0","user","2024-03-17",584,36864,33792,156,40133559471,21593.322
"1.10.0","user","2024-03-18",1051,82577,75479,306,106402637466,19955.939
"1.10.0","user","2024-03-19",1068,87029,78569,247,101337303440,12723.731
"1.10.0","user","2024-03-20",1011,89739,81534,284,134689539412,20509.392
"1.10.0","user","2024-03-21",1030,86494,80138,169,127794486388,26378.97
"1.10.0","user","2024-03-22",836,83334,76777,119,87153459695,9110.956
"1.10.0","user","2024-03-23",449,29874,27587,72,47138373667,8691.793
"1.10.0","user","2024-03-24",477,40488,35118,94,44148776214,15907.807
"1.10.0","user","2024-03-25",900,81734,74379,189,142042760715,15101.096
"1.10.0","user","2024-03-26",917,75762,69386,199,172153902214,9621.498
"1.10.0","user","2024-03-27",862,64536,58955,112,173931389645,9947.106
"1.10.0","user","2024-03-28",745,62072,56778,91,172198052068,6884.95
"1.10.0","user","2024-03-29",609,45141,41185,70,88990052851,7505.397
